Title,Genres,Movie Rating,Release Year,Movie Plot
Léon: The Professional,"Action, Crime, Drama",8.5,1994,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Departed,"Crime, Drama, Thriller",8.5,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
American History X,"Crime, Drama",8.5,1998,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
The Prestige,"Drama, Mystery, Sci-Fi",8.5,2006,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Whiplash,"Drama, Music",8.5,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Grave of the Fireflies,"Animation, Drama, War",8.5,1988,A young boy and his little sister struggle to survive in Japan during World War II.
Harakiri,"Action, Drama, Mystery",8.6,1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Casablanca,"Drama, Romance, War",8.5,1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
The Usual Suspects,"Crime, Drama, Mystery",8.5,1995,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
The Intouchables,"Comedy, Drama",8.5,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Cinema Paradiso,"Drama, Romance",8.5,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Modern Times,"Comedy, Drama, Romance",8.5,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Rear Window,"Mystery, Thriller",8.5,1954,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Once Upon a Time in the West,Western,8.5,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Alien,"Horror, Sci-Fi",8.5,1979,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.
City Lights,"Comedy, Drama, Romance",8.5,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
12th Fail,"Biography, Drama",9.0,2023,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
Apocalypse Now,"Drama, Mystery, War",8.4,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Django Unchained,"Drama, Western",8.5,2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Memento,"Mystery, Thriller",8.4,2000,A man with short-term memory loss attempts to track down his wife's murderer.
WALL·E,"Animation, Adventure, Family",8.4,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Raiders of the Lost Ark,"Action, Adventure",8.4,1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
The Lives of Others,"Drama, Mystery, Thriller",8.4,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Sunset Blvd.,"Drama, Film-Noir",8.4,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",8.4,2018,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Paths of Glory,"Drama, War",8.4,1957,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them."
The Shining,"Drama, Horror",8.4,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Witness for the Prosecution,"Crime, Drama, Mystery",8.4,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
The Great Dictator,"Comedy, Drama, War",8.4,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Aliens,"Action, Adventure, Sci-Fi",8.4,1986,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Inglourious Basterds,"Adventure, Drama, War",8.4,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
The Dark Knight Rises,"Action, Drama, Thriller",8.4,2012,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",8.4,1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Oldboy,"Action, Drama, Mystery",8.3,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
American Beauty,Drama,8.3,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Coco,"Animation, Adventure, Drama",8.4,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Toy Story,"Animation, Adventure, Comedy",8.3,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Amadeus,"Biography, Drama, Music",8.4,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
The Boat,"Drama, War",8.4,1981,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Braveheart,"Biography, Drama, History",8.3,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Avengers: Endgame,"Action, Adventure, Drama",8.4,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Joker,"Crime, Drama, Thriller",8.4,2019,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
Princess Mononoke,"Animation, Action, Adventure",8.3,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Good Will Hunting,"Drama, Romance",8.3,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Your Name.,"Animation, Drama, Fantasy",8.4,2016,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
Once Upon a Time in America,"Crime, Drama",8.3,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
High and Low,"Crime, Drama, Mystery",8.4,1963,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
3 Idiots,"Comedy, Drama",8.4,2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Oppenheimer,"Biography, Drama, History",8.3,2023,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
